socio_label,q_label,likert_col,H_stat,kw_p_value,epsilon_sq,effect_label,group_1,group_2,dunn_p_bonferroni
Obrig./Opcional,Q1,Entendi como o experiência de aprendizado se conectou com os objetivos da empresa.,5.268712811117324,0.02171206163506552,0.018749867655221793,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.02171206163506445
Obrig./Opcional,Q3,O conteúdo da experiência de aprendizado atendeu às necessidades da minha função.,25.300345371787028,4.906208903265908e-07,0.09003681626970472,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",4.906208903265793e-07
Obrig./Opcional,Q4,O conteúdo da experiência de aprendizado foi adaptado ao meu nível de experiência.,10.6464589473472,0.0011028185145260634,0.03788775426102207,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.0011028185145261482
Obrig./Opcional,Q5,Minha opinião foi considerada na criação da experiência de aprendizado que participei.,24.025183653795967,9.508387377145091e-07,0.08549887421279703,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",9.508387377145335e-07
Obrig./Opcional,Q7,A experiência de aprendizado foi importante para me manter competitivo(a) no mercado.,29.98253369875775,4.359555628887173e-08,0.10669940818063256,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",4.359555628887122e-08
Obrig./Opcional,Q8,O que aprendi na experiência de aprendizado me motivou a buscar novos conhecimentos.,32.824407090133334,1.008703672883382e-08,0.11681283661969158,médio,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",1.00870367288332e-08
Obrig./Opcional,Q10,Tive tempo suficiente durante o expediente para participar da experiência de aprendizado e estudar.,5.67898936014361,0.017169254797755752,0.02020992654855377,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.017169254797755912
Obrig./Opcional,Q11,Participei desta experiência de aprendizado mais por obrigação do que por interesse no conteúdo.,67.33668770575294,2.288822920958233e-16,0.2396323405898681,grande,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",2.2888229209582324e-16
Obrig./Opcional,Q12,"A empresa ofereceu incentivos claros para a participação nesta experiência de aprendizado (ex: bônus, folgas, ressarcimento de custos, pontuação em avaliação de desempenho).",16.823533079725067,4.102143688568281e-05,0.059870224483007356,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",4.102143688568193e-05
Obrig./Opcional,Q13,"A empresa costuma reconhecer os funcionários que se desenvolvem e concluem treinamentos (ex: através de certificados, elogios públicos, comunicados).",8.646119642763104,0.0032775865770336148,0.030769109048979018,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.0032775865770337223
Obrig./Opcional,Q14,A experiência de aprendizado que participei foi bem organizado e estruturado.,7.2832056876613365,0.006960221690963274,0.025918881450752086,pequeno,"Obrigatória: Participei por ser uma exigência formal da empresa para minha função atual, para atender a regulamentos ou estratégias essenciais.","Opcional: Participei por escolha própria, aproveitando um benefício ou apoio oferecido pela empresa (financeiro ou de tempo), para meu desenvolvimento profissional.",0.006960221690963084
